"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 18:51:36 GMT 2021","Tue Aug 10 18:51:54 GMT 2021","17458","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 18:50:22 GMT 2021","Tue Aug 10 18:50:54 GMT 2021","32632","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Tue Aug 10 18:49:55 GMT 2021","Tue Aug 10 18:50:22 GMT 2021","27056","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 18:50:54 GMT 2021","Tue Aug 10 18:51:08 GMT 2021","13145","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 18:52:05 GMT 2021","Tue Aug 10 18:52:17 GMT 2021","11692","src.tests.automation","test_registration","","","","testregistration",""
"passed","Tue Aug 10 18:51:19 GMT 2021","Tue Aug 10 18:51:36 GMT 2021","16948","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 18:49:29 GMT 2021","Tue Aug 10 18:49:55 GMT 2021","26056","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 18:52:17 GMT 2021","Tue Aug 10 18:52:59 GMT 2021","42356","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
"passed","Tue Aug 10 18:51:08 GMT 2021","Tue Aug 10 18:51:19 GMT 2021","11674","src.tests.automation","test_login","","","","test_login",""
"passed","Tue Aug 10 18:51:54 GMT 2021","Tue Aug 10 18:52:05 GMT 2021","11529","src.tests.automation","test_policy","","","","test_policy",""
